Designator,Mid X,Mid Y,Rotation,Layer
C1,154.93,-73.07,180.0,top
C10,160.92,-82.03,270.0,top
C11,163.19,-69.445651,90.0,top
C12,159.53,-71.32,90.0,top
C13,161.92,-84.82,270.0,top
C14,164.231839,-61.968474,270.0,top
C15,165.385246,-58.072391,90.0,top
C16,156.56,-84.6,90.0,top
C17,160.069205,-66.809772,270.0,top
C2,165.701771,-77.364534,0.0,top
C3,164.71,-71.54,45.0,top
C4,159.51,-68.81,90.0,top
C5,163.19,-71.81,90.0,top
C6,160.62,-68.84,90.0,top
C7,164.63,-73.08,0.0,top
C8,154.58,-77.4,180.0,top
C9,161.11,-66.83,90.0,top
D1,162.48554,-58.770885,0.0,top
J1,159.59,-50.43,180.0,top
J2,150.95,-72.29,180.0,bottom
J3,168.89,-72.25,0.0,bottom
J4,159.83,-96.33,270.0,top
R1,162.443928,-56.823312,0.0,top
R12,164.042295,-58.429912,270.0,top
R2,157.58,-56.33,0.0,top
R3,161.52,-71.29,90.0,top
R4,0.955,-0.495,0.0,top
R5,159.32,-82.6,0.0,top
R6,155.604101,-66.738063,180.0,top
R7,157.531555,-66.677672,180.0,top
SW1,157.65625,-64.07892,0.0,top
U1,159.7,-76.56,90.0,top
U2,156.35,-68.59,0.0,top
U3,157.03,-59.21,270.0,top
Y2,159.29,-84.86,0.0,top
